zip,state_name,density
45821,Ohio,14
45827,Ohio,14.8
45831,Ohio,16.700001
45832,Ohio,16.1
45835,Ohio,9.8999996
45836,Ohio,23.799999
45841,Ohio,14
45843,Ohio,14.3
45844,Ohio,23.1
45846,Ohio,23
45849,Ohio,10.6
45850,Ohio,23.5
45851,Ohio,7.5999999
45856,Ohio,19.1
45858,Ohio,18.9
45862,Ohio,15.9
45863,Ohio,16.1
45867,Ohio,17.9
45868,Ohio,14.1
45873,Ohio,17.6
45874,Ohio,14.2
45879,Ohio,23
45880,Ohio,15.6
45881,Ohio,19.1
45882,Ohio,13.8
45886,Ohio,10
45890,Ohio,17.5
45894,Ohio,7.0999999
45896,Ohio,21.200001
45898,Ohio,15
46031,Indiana,17.700001
46035,Indiana,17.9
46039,Indiana,10.6
46049,Indiana,12.2
46050,Indiana,14.4
46057,Indiana,18.299999
46068,Indiana,24.299999
46070,Indiana,20
46071,Indiana,19
46076,Indiana,14.8
46104,Indiana,13.4
46105,Indiana,17.700001
46110,Indiana,13.3
46115,Indiana,20.200001
46117,Indiana,22
46127,Indiana,6.8000002
46128,Indiana,21.5
46133,Indiana,12.8
46147,Indiana,21.4
46150,Indiana,12
46156,Indiana,13.9
46162,Indiana,15.7
46165,Indiana,14.4
46171,Indiana,18
46172,Indiana,13.9
46173,Indiana,19.1
46175,Indiana,10.3
46180,Indiana,15.5
46182,Indiana,21.1
46186,Indiana,23.9
46340,Indiana,12.5
46348,Indiana,7.9000001
46349,Indiana,15.3
46365,Indiana,17.700001
46374,Indiana,10.8
46376,Indiana,17.1
46382,Indiana,16.700001
46390,Indiana,22
46501,Indiana,21.299999
46504,Indiana,20.1
46510,Indiana,20.9
46532,Indiana,13.9
46570,Indiana,20
46702,Indiana,19.6
46721,Indiana,24.299999
46730,Indiana,19
46731,Indiana,13.6
46746,Indiana,21.200001
46759,Indiana,8.5
46760,Indiana,21.200001
46764,Indiana,16.9
46766,Indiana,13.1
46770,Indiana,19.9
46773,Indiana,17.9
46776,Indiana,24.5
46779,Indiana,23.6
46781,Indiana,11.9
46785,Indiana,24.4
46787,Indiana,23.4
46791,Indiana,23.299999
46792,Indiana,13.4
46794,Indiana,23.799999
46910,Indiana,21
46911,Indiana,14
46913,Indiana,15.6
46917,Indiana,13.3
46919,Indiana,21.9
46920,Indiana,12.8
46923,Indiana,23.1
46926,Indiana,18.799999
46929,Indiana,24.200001
46932,Indiana,24.1
46939,Indiana,8.6000004
46940,Indiana,17.299999
46941,Indiana,16.5
46950,Indiana,8.8000002
46951,Indiana,13.2
46960,Indiana,11.3
46974,Indiana,15.7
46978,Indiana,12.5
46982,Indiana,23.9
46985,Indiana,7.9000001
46986,Indiana,21.299999
46988,Indiana,12
46990,Indiana,10.3
46991,Indiana,22.700001
46994,Indiana,18
46996,Indiana,14.7
47010,Indiana,11
47011,Indiana,13.8
47012,Indiana,23.799999
47016,Indiana,15.6
47017,Indiana,12.7
47018,Indiana,23.200001
47020,Indiana,23.4
47023,Indiana,13.4
47024,Indiana,19.1
47030,Indiana,18.799999
47036,Indiana,24.5
47037,Indiana,20.9
47038,Indiana,18.700001
47042,Indiana,22.6
47043,Indiana,19.700001
47108,Indiana,10.7
47110,Indiana,23.299999
47115,Indiana,17.799999
47116,Indiana,10.4
47117,Indiana,20.5
47118,Indiana,9.5
47120,Indiana,19.5
47123,Indiana,9.8999996
47125,Indiana,15.4
47135,Indiana,10.4
47137,Indiana,9
47138,Indiana,22.9
47140,Indiana,24.9
47141,Indiana,18.9
47142,Indiana,12.3
47145,Indiana,18
47147,Indiana,13.1
47162,Indiana,14.1
47175,Indiana,15.6
47223,Indiana,10
47224,Indiana,10.9
47227,Indiana,12.6
47229,Indiana,24.9
47230,Indiana,15.6
47231,Indiana,15.9
47234,Indiana,16.1
47235,Indiana,17.1
47244,Indiana,17.200001
47260,Indiana,13.2
47264,Indiana,5.5999999
47270,Indiana,16.799999
47272,Indiana,24.200001
47273,Indiana,23.1
47281,Indiana,9.1000004
47283,Indiana,21.799999
47325,Indiana,12.7
47326,Indiana,13.3
47339,Indiana,19.5
47340,Indiana,21
47341,Indiana,24.1
47342,Indiana,20.799999
47345,Indiana,18.799999
47352,Indiana,12.4
47353,Indiana,18.200001
47354,Indiana,14.7
47355,Indiana,17.5
47357,Indiana,13.5
47358,Indiana,10.2
47359,Indiana,20.1
47360,Indiana,17.4
47369,Indiana,15.1
47371,Indiana,21.6
47380,Indiana,12.7
47384,Indiana,23.6
47387,Indiana,17.1
47393,Indiana,17.700001
47424,Indiana,20
47427,Indiana,7.9000001
47431,Indiana,14.3
47432,Indiana,21.200001
47433,Indiana,19.200001
47436,Indiana,14
47443,Indiana,10.7
47448,Indiana,14.7
47449,Indiana,8.1999998
47452,Indiana,20.299999
47453,Indiana,15.4
47454,Indiana,23.5
47456,Indiana,17.6
47462,Indiana,24.799999
47465,Indiana,12.1
47468,Indiana,18.299999
47469,Indiana,10.8
47470,Indiana,14.5
47471,Indiana,15.3
47513,Indiana,12
47515,Indiana,6.6999998
47516,Indiana,16.200001
47519,Indiana,10.2
47520,Indiana,15.5
47521,Indiana,19
47522,Indiana,11.2
47523,Indiana,20.200001
47524,Indiana,4.5999999
47525,Indiana,5.0999999
47527,Indiana,13.7
47528,Indiana,9.8000002
47529,Indiana,12.7
47531,Indiana,10.5
47537,Indiana,20
47541,Indiana,23.6
47550,Indiana,9.3999996
47551,Indiana,7.8000002
47552,Indiana,13.6
47553,Indiana,23.5
47557,Indiana,10.1
47558,Indiana,19.700001
47561,Indiana,8.6000004
47564,Indiana,14.2
47567,Indiana,20.299999
47568,Indiana,11.6
47574,Indiana,3.9000001
47575,Indiana,17.799999
47576,Indiana,6.9000001
47577,Indiana,17.5
47578,Indiana,6
47580,Indiana,22.200001
47581,Indiana,10.5
47585,Indiana,6.5
47588,Indiana,16.5
47590,Indiana,7
47597,Indiana,8.8999996
47598,Indiana,18.6
47611,Indiana,12.5
47612,Indiana,20.9
47613,Indiana,19.6
47615,Indiana,17.299999
47616,Indiana,3.3
47619,Indiana,13.6
47620,Indiana,24.9
47631,Indiana,13.1
47633,Indiana,15.8
47634,Indiana,18.200001
47637,Indiana,10
47640,Indiana,10.9
47649,Indiana,12.6
47660,Indiana,21.299999
47665,Indiana,19.9
47666,Indiana,11.4
47832,Indiana,9.5
47833,Indiana,10.5
47837,Indiana,16.299999
47838,Indiana,14.9
47840,Indiana,10.9
47841,Indiana,12.5
47846,Indiana,7.8000002
47847,Indiana,8.6000004
47849,Indiana,7.3000002
47850,Indiana,18.6
47854,Indiana,11.4
47858,Indiana,8.5
47859,Indiana,10
47861,Indiana,5.4000001
47862,Indiana,15.4
47866,Indiana,7.5
47868,Indiana,19.5
47872,Indiana,20.1
47874,Indiana,19.200001
47879,Indiana,21.5
47882,Indiana,22.700001
47907,Indiana,0
47917,Indiana,4.8000002
47918,Indiana,16.799999
47921,Indiana,10.2
47922,Indiana,8.3000002
47923,Indiana,14.7
47926,Indiana,11.4
47928,Indiana,18.299999
47929,Indiana,7.0999999
47930,Indiana,16.5
47932,Indiana,19
47940,Indiana,13.5
47942,Indiana,4.5
47943,Indiana,5.6999998
47944,Indiana,7.5
47946,Indiana,8.5
47948,Indiana,9.5
47949,Indiana,12.3
47950,Indiana,9.3000002
47951,Indiana,13.5
47952,Indiana,9.3999996
47954,Indiana,12.8
47955,Indiana,16.9
47957,Indiana,12.3
47959,Indiana,15.9
47963,Indiana,7.3000002
47967,Indiana,9.6000004
47968,Indiana,15.5
47970,Indiana,13.4
47971,Indiana,12.9
47974,Indiana,11.2
47975,Indiana,6.5
47977,Indiana,10.2
47978,Indiana,17.700001
47980,Indiana,7.5999999
47981,Indiana,9
47987,Indiana,12.7
47989,Indiana,11.8
47990,Indiana,14.6
47991,Indiana,13.8
47992,Indiana,15.5
47993,Indiana,10.7
47994,Indiana,12.5
47995,Indiana,8.1999998
50001,Iowa,10.9
50002,Iowa,4.5999999
50003,Iowa,22.299999
50005,Iowa,10.5
50006,Iowa,5.3000002
50008,Iowa,4
50020,Iowa,5.6999998
50022,Iowa,19.700001
50025,Iowa,6.5999999
50026,Iowa,4.0999999
50027,Iowa,3.9000001
50028,Iowa,14.6
50029,Iowa,6.5999999
50034,Iowa,3
50039,Iowa,5.4000001
50042,Iowa,3.7
50044,Iowa,7.5
50046,Iowa,12.8
50048,Iowa,3.8
50049,Iowa,12.5
50050,Iowa,3.5999999
50051,Iowa,4.3000002
50052,Iowa,2.7
50054,Iowa,22.200001
50055,Iowa,7.1999998
50056,Iowa,9.1999998
50057,Iowa,4.5999999
50058,Iowa,5.3000002
50060,Iowa,5.5
50061,Iowa,21.200001
50062,Iowa,9.3000002
50063,Iowa,15.3
50064,Iowa,3.0999999
50065,Iowa,4
50066,Iowa,4.0999999
50067,Iowa,3.5
50068,Iowa,3.2
50070,Iowa,8.6999998
50071,Iowa,3.4000001
50072,Iowa,11.7
50073,Iowa,17.799999
50074,Iowa,2.7
50075,Iowa,7.1999998
50076,Iowa,5.1999998
50101,Iowa,2.5999999
50103,Iowa,2.9000001
50104,Iowa,4.4000001
50106,Iowa,6.0999999
50107,Iowa,8.3999996
50108,Iowa,2.5
50112,Iowa,24.299999
50115,Iowa,6.0999999
50116,Iowa,6.8000002
50117,Iowa,2.7
50118,Iowa,20.700001
50119,Iowa,12.6
50120,Iowa,7.4000001
50122,Iowa,6.3000002
50123,Iowa,4
50126,Iowa,19.5
50128,Iowa,4.8000002
50129,Iowa,12
50130,Iowa,9.6999998
50132,Iowa,4.9000001
50133,Iowa,2.9000001
50134,Iowa,13.7
50135,Iowa,8.3000002
50136,Iowa,4.4000001
50139,Iowa,5.5999999
50140,Iowa,12.4
50141,Iowa,6.0999999
50143,Iowa,6.5
50144,Iowa,8
50146,Iowa,5.8000002
50147,Iowa,2.3
50148,Iowa,8.5
50149,Iowa,4.5
50150,Iowa,6.6999998
50151,Iowa,3.5
50153,Iowa,9.1000004
50154,Iowa,8.8000002
50155,Iowa,3.2
50156,Iowa,19
50157,Iowa,4.5
50161,Iowa,9.6999998
50162,Iowa,9.3000002
50164,Iowa,4.6999998
50165,Iowa,7.5999999
50166,Iowa,9.8000002
50167,Iowa,7.3000002
50168,Iowa,8
50170,Iowa,12
50171,Iowa,10.4
50173,Iowa,8.6999998
50174,Iowa,5.0999999
50206,Iowa,4.1999998
50207,Iowa,6.9000001
50210,Iowa,8.6000004
50212,Iowa,8.8999996
50213,Iowa,12.6
50214,Iowa,8.5
50216,Iowa,20.1
50217,Iowa,3.5
50222,Iowa,4.5999999
50223,Iowa,6.3000002
50225,Iowa,13.6
